종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
016590,신대양제지,KOSPI,종이목재,"87,900",900,1.03,"354,217,837,800"
029530,신도리코,KOSPI,전기전자,"31,500",0,0.00,"317,520,913,500"
004970,신라교역,KOSPI,"농업, 임업 및 어업","10,350",0,0.00,"165,600,000,000"
011930,신성이엔지,KOSPI,전기전자,"1,805",-15,-0.82,"371,555,912,555"
005390,신성통상,KOSPI,유통업,"2,760",15,0.55,"396,635,156,400"
004170,신세계,KOSPI,유통업,"214,000","5,500",2.64,"2,106,868,734,000"
035510,신세계 I&C,KOSPI,서비스업,"13,300",150,1.14,"228,760,000,000"
034300,신세계건설,KOSPI,건설업,"24,600",150,0.61,"98,400,000,000"
031430,신세계인터내셔날,KOSPI,유통업,"28,700",400,1.41,"1,024,590,000,000"
031440,신세계푸드,KOSPI,서비스업,"56,100",-300,-0.53,"217,246,128,000"
006880,신송홀딩스,KOSPI,유통업,"11,950",150,1.27,"141,354,853,100"
005800,신영와코루,KOSPI,섬유의복,"11,450",450,4.09,"103,050,000,000"
001720,신영증권,KOSPI,증권,"54,700",-100,-0.18,"513,427,163,900"
001725,신영증권우,KOSPI,증권,"57,000",0,0.00,"402,064,491,000"
009270,신원,KOSPI,섬유의복,"1,595",10,0.63,"152,432,256,735"
009275,신원우,KOSPI,섬유의복,"5,070","-5,380",-51.48,"460,051,800"
002700,신일전자,KOSPI,유통업,"2,105",10,0.48,"149,555,031,705"
019170,신풍제약,KOSPI,의약품,"26,650",650,2.50,"1,412,049,983,500"
019175,신풍제약우,KOSPI,의약품,"46,500",0,0.00,"102,300,000,000"
002870,신풍제지,KOSPI,유통업,"1,550",10,0.65,"54,185,985,000"
404990,신한서부티엔디리츠,KOSPI,서비스업,"4,960",60,1.22,"277,541,184,640"
293940,신한알파리츠,KOSPI,서비스업,"7,800",40,0.52,"575,874,959,400"
055550,신한지주,KOSPI,기타금융,"34,600","-1,000",-2.81,"17,747,520,932,600"
004080,신흥,KOSPI,유통업,"16,000",-100,-0.62,"152,000,000,000"
102280,쌍방울,KOSPI,섬유의복,542,-7,-1.28,"142,324,933,918"
003410,쌍용C&E,KOSPI,비금속광물,"6,220",-60,-0.96,"3,134,006,680,900"
003620,쌍용차,KOSPI,운수장비,"2,770",0,0.00,"415,056,805,540"
004770,써니전자,KOSPI,전기전자,"2,710",10,0.37,"94,429,979,810"
015540,쎌마테라퓨틱스,KOSPI,서비스업,"6,410",0,0.00,"157,390,672,070"
004920,씨아이테크,KOSPI,기타제조업,"1,365",80,6.23,"55,714,889,685"
112610,씨에스윈드,KOSPI,기계,"47,150",-450,-0.95,"1,988,381,651,450"
008700,아남전자,KOSPI,전기전자,"2,425",-30,-1.22,"187,027,688,500"
002790,아모레G,KOSPI,화학,"38,300",950,2.54,"3,158,148,294,000"
00279K,아모레G3우(전환),KOSPI,화학,"31,750",400,1.28,"225,177,350,000"
002795,아모레G우,KOSPI,화학,"14,500",0,0.00,"93,434,665,000"
090430,아모레퍼시픽,KOSPI,화학,"136,000","6,000",4.62,"7,955,015,224,000"
090435,아모레퍼시픽우,KOSPI,화학,"48,050",850,1.80,"507,303,731,500"
002030,아세아,KOSPI,서비스업,"115,500","2,000",1.76,"253,063,272,000"
183190,아세아시멘트,KOSPI,비금속광물,"10,200",100,0.99,"397,372,518,000"
002310,아세아제지,KOSPI,종이목재,"32,900",700,2.17,"294,668,915,800"
012170,아센디오,KOSPI,서비스업,"1,265",10,0.80,"101,844,132,940"
267850,아시아나IDT,KOSPI,서비스업,"13,800",250,1.85,"153,180,000,000"
020560,아시아나항공,KOSPI,운수창고업,"14,400",300,2.13,"1,071,529,401,600"
122900,아이마켓코리아,KOSPI,유통업,"10,050",50,0.50,"335,959,842,000"
010780,아이에스동서,KOSPI,비금속광물,"38,100",-400,-1.04,"1,177,008,288,600"
139990,아주스틸,KOSPI,철강금속,"10,350",150,1.47,"273,780,156,150"
001780,알루코,KOSPI,철강금속,"2,905",25,0.87,"260,843,528,960"
018250,애경산업,KOSPI,화학,"14,500",400,2.84,"382,944,057,500"
161000,애경케미칼,KOSPI,화학,"7,910",50,0.64,"384,811,288,190"
011090,에넥스,KOSPI,기타제조업,"1,315",15,1.15,"78,889,007,915"
137310,에스디바이오센서,KOSPI,의료정밀,"47,300","-1,100",-2.27,"4,884,734,996,900"
005850,에스엘,KOSPI,운수장비,"31,350","1,850",6.27,"1,456,161,102,000"
010580,에스엠벡셀,KOSPI,운수장비,"1,530",0,0.00,"170,215,192,800"
012750,에스원,KOSPI,서비스업,"63,800",200,0.31,"2,424,347,556,400"
023960,에쓰씨엔지니어링,KOSPI,건설업,"2,290",15,0.66,"71,561,022,950"
298690,에어부산,KOSPI,운수창고업,"1,400",35,2.56,"271,488,000,000"
140910,에이리츠,KOSPI,서비스업,"5,410",-130,-2.35,"24,145,003,120"
078520,에이블씨엔씨,KOSPI,화학,"5,040",10,0.20,"136,248,633,360"
015260,에이엔피,KOSPI,전기전자,"2,465",-5,-0.20,"71,602,873,835"
007460,에이프로젠 MED,KOSPI,기계,"1,540",-30,-1.91,"369,189,206,540"
003060,에이프로젠제약,KOSPI,의약품,615,8,1.32,"245,124,167,430"
244920,에이플러스에셋,KOSPI,기타금융,"5,890",120,2.08,"133,159,311,770"
036570,엔씨소프트,KOSPI,서비스업,"366,500","8,500",2.37,"8,046,149,063,000"
380440,엔에이치스팩19호,KOSPI,기타금융,"2,105",5,0.24,"107,965,450,000"
085310,엔케이,KOSPI,기계,855,17,2.03,"68,385,765,960"
900140,엘브이엠씨홀딩스,KOSPI,유통업,"2,920",85,3.00,"290,409,467,240"
097520,엠씨넥스,KOSPI,전기전자,"30,500",450,1.50,"548,299,476,000"
014440,영보화학,KOSPI,화학,"3,470",-25,-0.72,"69,400,000,000"
111770,영원무역,KOSPI,유통업,"37,750",450,1.21,"1,672,757,917,000"
009970,영원무역홀딩스,KOSPI,기타금융,"47,600","1,250",2.70,"649,054,179,200"
003520,영진약품,KOSPI,의약품,"3,640",5,0.14,"665,729,540,840"
000670,영풍,KOSPI,철강금속,"510,000","6,000",1.19,"939,440,400,000"
006740,영풍제지,KOSPI,종이목재,"6,890",-100,-1.43,"152,958,000,000"
012280,영화금속,KOSPI,운수장비,"1,100",-5,-0.45,"58,733,955,500"
012160,영흥,KOSPI,철강금속,811,16,2.01,"82,162,711,692"
015360,예스코홀딩스,KOSPI,서비스업,"35,700",650,1.85,"214,200,000,000"
