종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
369370,블리츠웨이,KOSDAQ,기타제조,"2,890",350,13.78,"117,941,125,420"
126340,비나텍,KOSDAQ,IT부품,"39,050",-50,-0.13,"213,535,631,100"
121800,비덴트,KOSDAQ,통신장비,"8,770",340,4.03,"450,085,143,690"
148140,비디아이,KOSDAQ,기계·장비,640,0,0.00,"27,653,546,880"
082800,비보존 헬스케어,KOSDAQ,반도체,938,4,0.43,"219,531,984,126"
318410,비비씨,KOSDAQ,기타제조,"10,450",150,1.46,"58,052,289,350"
146320,비씨엔씨,KOSDAQ,반도체,"15,900",-200,-1.24,"196,649,975,700"
200780,비씨월드제약,KOSDAQ,제약,"11,000",-100,-0.90,"97,816,224,000"
141000,비아트론,KOSDAQ,반도체,"8,420",90,1.08,"102,005,858,200"
090460,비에이치,KOSDAQ,IT부품,"24,600","-1,700",-6.46,"847,823,723,400"
083650,비에이치아이,KOSDAQ,기계·장비,"7,070",-440,-5.86,"183,820,000,000"
142760,비엘,KOSDAQ,기타서비스,"7,010",-350,-4.76,"220,454,664,970"
065170,비엘팜텍,KOSDAQ,유통,934,-9,-0.95,"83,098,502,106"
086670,비엠티,KOSDAQ,기계·장비,"11,900",-100,-0.83,"96,943,695,100"
335890,비올,KOSDAQ,의료·정밀기기,"1,910",15,0.79,"111,034,687,040"
138580,비즈니스온,KOSDAQ,소프트웨어,"7,870",-20,-0.25,"177,517,002,810"
082920,비츠로셀,KOSDAQ,IT부품,"10,650",-250,-2.29,"229,391,968,800"
054220,비츠로시스,KOSDAQ,일반전기전자,"3,175",-775,-19.62,"79,885,774,950"
042370,비츠로테크,KOSDAQ,금융,"6,640",-10,-0.15,"173,968,166,000"
050090,비케이홀딩스,KOSDAQ,IT부품,503,0,0.00,"39,806,887,826"
307870,비투엔,KOSDAQ,컴퓨터서비스,"2,820",65,2.36,"86,577,384,000"
357880,비트나인,KOSDAQ,소프트웨어,"11,650",300,2.64,"120,623,587,400"
032850,비트컴퓨터,KOSDAQ,소프트웨어,"6,970",-150,-2.11,"115,864,352,210"
148780,비플라이소프트,KOSDAQ,출판·매체복제,"11,900","-2,450",-17.07,"72,272,484,200"
238200,비피도,KOSDAQ,음식료·담배,"8,120",-40,-0.49,"66,421,600,000"
093190,빅솔론,KOSDAQ,정보기기,"5,950",10,0.17,"114,471,484,750"
065450,빅텍,KOSDAQ,의료·정밀기기,"5,110",70,1.39,"146,415,808,000"
072950,빛샘전자,KOSDAQ,반도체,"6,930",90,1.32,"43,179,852,870"
143240,사람인에이치알,KOSDAQ,인터넷,"30,800",300,0.98,"359,105,300,400"
100090,삼강엠앤티,KOSDAQ,금속,"19,150",-50,-0.26,"710,018,268,800"
122350,삼기,KOSDAQ,운송장비·부품,"3,115",105,3.49,"119,427,318,220"
014970,삼륭물산,KOSDAQ,종이·목재,"5,640",-140,-2.42,"85,305,000,000"
018310,삼목에스폼,KOSDAQ,금속,"17,700",0,0.00,"260,190,000,000"
053700,삼보모터스,KOSDAQ,운송장비·부품,"3,945",75,1.94,"74,260,269,720"
009620,삼보산업,KOSDAQ,금속,"1,070",0,0.00,"48,423,450,270"
023600,삼보판지,KOSDAQ,종이·목재,"9,350",130,1.41,"151,189,500,000"
380320,삼성머스트스팩5호,KOSDAQ,금융,"4,860",675,16.13,"23,376,600,000"
377630,삼성스팩4호,KOSDAQ,금융,"7,340","1,690",29.91,"29,506,800,000"
425290,삼성스팩6호,KOSDAQ,금융,"7,300",170,2.38,"40,296,000,000"
009300,삼아제약,KOSDAQ,제약,"15,000",-250,-1.64,"95,550,000,000"
225190,삼양옵틱스,KOSDAQ,의료·정밀기기,"11,900",50,0.42,"120,781,287,200"
361670,삼영에스앤씨,KOSDAQ,일반전기전자,"6,950",-10,-0.14,"39,390,223,100"
054540,삼영엠텍,KOSDAQ,금속,"5,090",-240,-4.50,"66,170,000,000"
065570,삼영이엔씨,KOSDAQ,통신장비,"5,680",820,16.87,"61,309,976,800"
032280,삼일,KOSDAQ,운송,"2,130",20,0.95,"34,534,946,700"
002290,삼일기업공사,KOSDAQ,건설,"3,560",-25,-0.70,"44,144,000,000"
